time_sec	queue_density
0.0666667	0.0712349
0.533333	0.0800168
1	0.0907816
1.46667	0.0990736
1.93333	0.111872
2.4	0.116246
2.86667	0.120023
3.33333	0.123672
3.8	0.134421
4.26667	0.13299
4.73333	0.125611
5.2	0.132602
5.66667	0.156193
6.13333	0.188946
6.6	0.197951
7.06667	0.191591
7.53333	0.199644
8	0.205389
8.46667	0.208438
8.93333	0.215672
9.4	0.229043
9.86667	0.228506
10.3333	0.222157
10.8	0.215605
11.2667	0.211373
11.7333	0.209974
12.2	0.208845
12.6667	0.206878
13.1333	0.208234
13.6	0.208591
14.0667	0.208156
14.5333	0.207423
15	0.207227
15.4667	0.206976
15.9333	0.206314
16.4	0.206541
16.8667	0.205326
17.3333	0.205475
17.8	0.205475
18.2667	0.2041
18.7333	0.212835
19.2	0.219011
19.6667	0.215198
20.1333	0.208504
20.6	0.20669
21.0667	0.206776
21.5333	0.205275
22	0.205765
22.4667	0.205652
22.9333	0.211091
23.4	0.213297
23.8667	0.212686
24.3333	0.212846
24.8	0.210973
25.2667	0.209625
25.7333	0.214504
26.2	0.220363
26.6667	0.223325
27.1333	0.2365
27.6	0.257743
28.0667	0.279833
28.5333	0.305744
29	0.326698
29.4667	0.335158
29.9333	0.346307
30.4	0.356735
30.8667	0.36246
31.3333	0.367119
31.8	0.366285
32.2667	0.366014
32.7333	0.36672
33.2	0.368424
33.6667	0.391388
34.1333	0.410806
34.6	0.425665
35.0667	0.449002
35.5333	0.456267
36	0.461663
36.4667	0.460338
36.9333	0.455174
37.4	0.453622
37.8667	0.450663
38.3333	0.458646
38.8	0.471366
39.2667	0.486026
39.7333	0.516565
40.2	0.538212
40.6667	0.561391
41.1333	0.57531
41.6	0.585037
42.0667	0.589328
42.5333	0.591789
43	0.596193
43.4667	0.600723
43.9333	0.605336
44.4	0.610795
44.8667	0.614028
45.3333	0.614282
45.8	0.615383
46.2667	0.61563
46.7333	0.617515
47.2	0.619612
47.6667	0.622378
48.1333	0.635792
48.6	0.635545
